ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
37,67,2,2023-03-22,1,7,24,45,13,128,true,false
38,68,2,2026-02-07,1,8,28,55,15,131,true,false
39,69,2,2022-02-01,1,4,16,28,8,134,true,false
40,70,1,2018-08-08,1,10,33,62,20,137,true,false
41,71,1,2025-02-14,1,8,27,50,15,139,true,false
42,72,1,2025-09-10,1,10,34,67,19,141,true,false
43,73,1,2018-04-23,1,5,18,30,,142,true,false
44,75,1,2023-06-05,1,9,30,57,,145,true,false
45,76,1,2020-11-11,1,2,10,19,3,146,true,false
46,77,1,2026-09-21,1,10,33,62,,148,true,false
47,78,1,2019-03-11,1,1,5,10,1,149,true,false
48,80,1,2021-12-18,1,1,6,12,2,154,true,false
49,82,1,2025-10-22,1,5,18,30,9,157,true,false
50,85,1,2019-04-06,1,6,21,39,12,163,true,false
51,86,1,2021-12-08,1,8,27,52,16,164,true,false
52,87,1,2024-04-25,1,5,19,34,,167,true,false
53,88,1,2026-12-18,1,5,18,30,,168,true,false
54,89,2,2019-09-11,1,8,27,50,,170,true,false
55,91,1,2023-10-11,1,8,27,51,15,175,true,false
56,93,1,2021-05-21,1,2,8,14,,181,true,false
57,94,1,2023-07-18,1,8,28,55,16,184,true,false
58,95,1,2021-07-12,1,1,3,5,2,186,true,false
59,99,1,2026-07-16,1,5,19,34,,193,true,false
60,102,1,2026-07-21,1,5,18,30,,198,true,false
61,103,1,2025-04-21,1,5,19,33,10,200,true,false
62,104,1,2020-12-25,1,4,16,27,7,203,true,false
63,105,1,2019-01-01,1,8,28,55,16,205,true,false
64,106,1,2023-05-30,1,5,18,29,9,207,true,false
65,107,1,2026-10-23,1,8,27,51,,208,true,false
66,108,1,2019-12-22,1,4,15,24,,209,true,false
67,110,1,2026-09-10,1,5,19,32,,213,true,false
68,111,1,2026-11-06,1,8,27,51,,216,true,false
69,113,1,2020-10-08,1,9,30,57,17,222,true,false
70,116,1,2019-02-15,1,6,22,40,12,228,true,false
71,118,1,2021-02-21,1,6,22,41,11,233,true,false
72,120,1,2025-08-07,1,8,28,55,,236,true,false
73,121,1,2022-05-28,1,3,12,21,5,239,true,false
74,122,2,2021-12-23,1,6,21,37,11,242,true,false
75,126,2,2025-05-29,1,3,13,23,,250,true,false
76,127,1,2023-07-22,1,5,19,34,9,252,true,false
77,128,1,2021-12-21,1,9,30,56,17,254,true,false
78,129,1,2018-03-10,1,8,27,51,15,257,true,false
79,133,1,2022-10-11,1,3,13,22,5,267,true,false
80,135,1,2024-09-26,1,8,27,53,,270,true,false
81,137,1,2018-05-28,1,5,19,34,,275,true,false
82,138,1,2023-06-06,1,6,21,39,,276,true,false
83,139,1,2021-03-31,1,4,15,26,,279,true,false
84,140,1,2026-01-14,1,2,8,14,4,282,true,false
85,141,1,2027-01-14,1,7,24,45,,285,true,false
86,142,1,2023-08-23,1,3,12,21,,287,true,false
87,144,2,2018-12-31,1,8,27,52,16,289,true,false
88,145,1,2018-04-10,1,8,27,53,15,292,true,false
89,146,1,2021-12-03,1,6,21,36,,293,true,false
90,148,2,2019-11-17,1,1,4,7,,297,true,false
91,149,1,2025-11-16,1,9,31,61,,300,true,false
92,151,2,2018-08-27,1,3,12,21,5,305,true,false
93,155,1,2021-01-19,1,9,30,56,18,312,true,false
94,158,1,2026-09-24,1,7,24,45,13,320,true,false
95,159,1,2025-08-04,1,7,24,43,14,323,true,false
96,161,1,2022-09-05,1,1,3,5,,326,true,false
97,162,1,2020-03-11,1,10,34,66,20,327,true,false
98,165,1,2022-05-14,1,4,15,26,,333,true,false
99,166,1,2021-09-26,1,7,25,48,,335,true,false
100,167,1,2019-06-01,1,4,15,25,,337,true,false
101,168,1,2020-10-17,1,7,25,48,,338,true,false
102,170,1,2026-06-02,1,8,27,52,,341,true,false
103,172,1,2018-07-23,1,5,18,31,,346,true,false
104,178,1,2023-01-18,1,5,19,33,9,356,true,false
105,179,1,2021-12-10,1,4,15,24,,359,true,false
106,180,1,2021-06-20,1,3,12,21,,360,true,false
107,181,1,2022-01-04,1,2,10,18,3,363,true,false
108,182,1,2022-06-13,1,9,31,59,18,364,true,true
109,184,2,2018-03-30,1,10,34,67,,366,true,false
110,185,2,2024-04-09,1,10,33,65,19,369,true,false
111,187,1,2020-05-13,1,4,16,28,,374,true,false
112,189,1,2020-10-23,1,7,25,46,,377,true,false
113,191,1,2023-02-13,1,4,15,25,8,382,true,false
114,192,1,2025-09-18,1,5,18,31,9,383,true,false
115,193,2,2019-05-11,1,5,19,34,,384,true,false
116,194,1,2022-04-29,1,8,27,50,16,387,true,false
117,196,1,2019-02-13,1,5,19,34,,389,true,false
118,198,2,2022-11-16,1,10,34,69,,394,true,false
119,200,1,2022-04-17,1,6,21,39,12,397,true,false
120,201,1,2026-06-06,1,7,24,43,13,400,true,false
121,205,1,2024-12-31,1,6,21,37,,409,true,false
122,206,1,2018-02-01,1,5,19,33,,410,true,false
123,207,1,2022-01-19,1,2,10,18,4,412,true,false
124,209,1,2025-08-19,1,5,19,33,10,415,true,false
125,211,2,2023-06-13,1,7,25,48,,418,true,false
126,215,1,2026-08-29,1,2,10,19,,426,true,false
127,216,1,2024-04-23,1,4,16,27,,427,true,false
128,217,2,2022-10-24,1,6,22,40,12,430,true,false
129,218,1,2026-02-05,1,5,18,31,10,432,true,false
130,219,1,2026-03-28,1,2,9,16,3,434,true,false
131,220,1,2023-06-25,1,9,31,60,,435,true,false
132,222,1,2026-04-25,1,6,21,37,11,438,true,false
133,223,1,2020-12-09,1,9,31,60,,440,true,false
134,224,1,2021-03-18,1,1,2,1,,442,true,false
135,225,1,2025-08-15,1,3,12,20,6,444,true,false
136,226,1,2022-12-10,1,10,33,64,19,447,true,false
137,227,1,2023-12-26,1,9,31,59,18,448,true,false
138,229,1,2019-07-01,1,4,15,24,,450,true,false
139,230,1,2023-07-03,1,6,22,41,12,451,true,false
140,231,1,2020-11-09,1,10,34,69,20,454,true,false
141,233,2,2024-01-20,1,1,3,4,,458,true,false
142,235,1,2023-11-20,1,8,28,55,16,462,true,false
143,237,1,2023-02-25,1,4,15,25,,466,true,false
144,238,1,2023-08-26,1,10,33,62,,468,true,false
145,239,1,2025-03-29,1,6,21,37,12,469,true,false
146,242,1,2024-03-23,1,7,24,44,13,474,true,false
147,243,1,2024-03-14,1,10,33,63,19,476,true,false
148,244,1,2020-12-31,1,6,22,40,11,479,true,false
149,246,1,2026-09-02,1,3,13,22,,482,true,false
150,247,1,2018-07-26,1,6,22,40,11,483,true,false
151,248,1,2021-04-19,1,9,31,61,17,485,true,false
152,249,1,2018-05-16,1,7,24,42,,487,true,false
153,252,1,2021-01-20,1,6,21,36,11,491,true,false
154,254,1,2018-01-18,1,6,21,38,,497,true,false
155,256,2,2023-03-24,1,5,19,35,10,501,true,false
156,257,2,2021-11-08,1,4,15,24,,504,true,false
157,258,1,2024-12-10,1,9,30,56,18,507,true,false
158,259,1,2023-03-31,1,5,19,34,,509,true,false
159,261,1,2025-11-08,1,3,13,23,6,513,true,false
160,263,1,2019-10-19,1,10,33,62,20,517,true,false
161,266,1,2023-11-26,1,3,13,22,,523,true,false
162,267,1,2021-04-12,1,1,3,4,1,524,true,false
163,269,1,2026-11-18,1,1,5,8,,529,true,false
164,270,2,2025-04-10,1,6,21,38,,530,true,false
165,273,1,2023-03-27,1,2,8,14,,535,true,false
166,274,1,2021-08-21,1,1,4,7,,537,true,false
167,276,1,2019-12-25,1,4,15,26,,539,true,false
168,277,1,2026-08-24,1,10,34,68,19,540,true,false
169,278,1,2024-07-05,1,3,13,22,,541,true,false
170,279,1,2021-09-07,1,7,25,49,13,544,true,false
171,282,1,2019-12-26,1,10,34,67,20,548,true,false
172,283,1,2026-05-04,1,2,10,18,3,550,true,false
173,285,1,2020-03-24,1,1,6,13,2,555,true,false
174,288,1,2021-08-11,1,8,27,52,,563,true,true
175,290,1,2021-09-01,1,2,8,15,,567,true,false
176,292,1,2023-02-07,1,7,25,46,13,569,true,false
177,293,1,2022-07-27,1,3,13,23,,570,true,false
178,296,2,2018-05-02,1,2,9,17,3,576,true,false
179,297,1,2018-01-26,1,6,21,37,,579,true,false
180,300,1,2019-09-16,1,3,13,23,,583,true,false
181,301,1,2020-03-12,1,9,31,61,,586,true,false
182,302,1,2023-01-29,1,4,16,27,,589,true,false
183,303,1,2019-12-19,1,4,16,28,7,592,true,false
184,304,2,2023-06-01,1,4,15,24,8,595,true,false
185,306,1,2021-02-22,1,8,27,52,15,599,true,false
186,309,1,2024-05-16,1,6,21,37,11,604,true,true
187,310,1,2025-12-31,1,10,33,64,,605,true,false
188,311,1,2018-09-02,1,5,18,31,,606,true,false
189,312,1,2020-01-26,1,3,12,20,6,609,true,false
190,313,1,2021-10-14,1,10,34,67,19,611,true,false
191,314,1,2022-11-01,1,1,4,7,1,613,true,false
192,315,1,2018-06-28,1,3,12,20,5,615,true,false
193,316,1,2022-08-14,1,5,18,31,,618,true,false
194,318,2,2023-07-12,1,3,13,23,,624,true,false
195,320,1,2022-03-03,1,3,12,20,6,629,true,false
196,321,1,2026-08-23,1,2,10,18,3,632,true,false
197,323,1,2024-09-16,1,1,2,2,1,636,true,false
198,324,1,2019-03-12,1,8,28,54,15,637,true,false
199,330,2,2019-08-11,1,6,22,40,,652,true,false
200,332,1,2021-07-04,1,4,16,27,8,657,true,false
201,333,1,2024-01-11,1,2,8,14,,660,true,false
202,334,1,2021-10-26,1,3,12,20,,662,true,false
203,336,1,2021-09-21,1,1,6,12,2,665,true,false
204,338,1,2019-12-13,1,6,21,37,11,669,true,false
205,339,1,2018-04-01,1,5,19,35,,671,true,false
206,340,1,2025-04-18,1,8,27,52,15,674,true,false
207,341,2,2025-12-13,1,5,19,35,,675,true,false
208,343,1,2023-02-22,1,1,5,8,1,678,true,false
209,344,2,2020-11-24,1,4,15,25,,680,true,false
210,345,1,2024-11-02,1,3,12,20,6,683,true,false
211,348,1,2024-12-24,1,7,25,48,,688,true,false
212,349,1,2020-01-20,1,5,19,33,10,691,true,false
213,351,1,2025-12-28,1,2,9,16,4,694,true,false
214,352,1,2019-12-10,1,7,24,44,14,697,true,false
215,354,1,2019-06-04,1,1,4,6,2,700,true,false
216,355,1,2025-06-26,1,10,33,64,20,701,true,false
217,356,1,2022-11-20,1,1,5,9,1,704,true,false
218,357,2,2021-12-11,1,3,13,23,5,707,true,false
219,358,2,2018-02-15,1,6,22,41,,710,true,false
220,359,1,2021-06-04,1,1,2,2,2,713,true,false
221,360,1,2023-09-01,1,1,2,2,2,716,true,false
222,361,1,2020-04-12,1,10,34,67,,718,true,false
223,362,1,2023-08-26,1,4,16,27,7,720,true,false
224,363,1,2025-04-19,1,4,15,24,,722,true,false
225,364,1,2025-03-30,1,4,16,27,8,725,true,false
226,365,1,2021-06-06,1,4,16,27,7,728,true,false
227,366,1,2025-11-11,1,9,30,56,18,731,true,false
228,368,1,2018-03-20,1,3,13,22,5,735,true,false
229,369,1,2024-04-30,1,8,28,54,15,738,true,false
230,370,1,2024-01-07,1,1,3,4,2,741,true,false
231,372,1,2023-06-01,1,10,34,67,20,744,true,false
232,373,2,2024-07-06,1,3,13,22,5,747,true,false
233,374,1,2023-03-10,1,6,22,40,,750,true,false
234,375,1,2018-01-23,1,5,18,30,10,751,true,false
235,376,1,2023-03-05,1,3,12,21,,754,true,false
236,377,2,2023-01-12,1,5,18,31,,755,true,false
237,378,1,2021-11-29,1,8,28,54,,756,true,false
238,382,1,2018-12-11,1,1,6,12,2,760,true,false
239,385,2,2025-05-03,1,2,9,17,4,767,true,false
240,387,1,2023-02-11,1,6,21,38,,771,true,false
241,388,1,2022-09-03,1,8,27,53,16,772,true,false
242,389,1,2023-02-03,1,10,34,69,,774,true,false
243,391,1,2020-04-20,1,7,24,44,13,776,true,false
244,393,1,2020-03-23,1,5,19,34,,782,true,false
245,394,1,2023-06-10,1,4,15,26,7,784,true,false
246,395,1,2019-07-20,1,9,31,60,,785,true,false
247,396,2,2019-10-06,1,9,30,56,17,788,true,false
248,397,2,2021-06-25,1,8,27,51,,791,true,false
249,399,1,2023-10-13,1,1,2,1,1,795,true,false
250,400,1,2022-03-08,1,2,10,19,4,796,true,false
251,401,1,2018-02-19,1,1,6,12,,799,true,false
252,402,1,2018-06-27,1,8,27,51,,802,true,false
253,403,1,2018-03-03,1,5,18,30,,805,true,false
254,405,1,2025-05-27,1,3,13,23,,810,true,false
255,406,1,2023-03-16,1,8,28,54,,811,true,false
256,407,1,2024-09-20,1,6,22,40,,814,true,false
257,408,1,2023-04-11,1,5,19,32,,817,true,false
258,410,1,2020-12-19,1,10,33,65,,822,true,false
259,411,2,2022-11-03,1,8,27,53,,825,true,false
260,412,1,2021-07-14,1,3,12,20,6,828,true,false
261,413,2,2023-03-15,1,2,8,14,3,830,true,false
262,414,1,2019-10-19,1,8,28,55,15,831,true,false
263,415,1,2019-10-13,1,6,21,36,12,832,true,false
264,416,1,2025-12-14,1,2,9,16,,835,true,false
265,417,1,2023-11-30,1,7,24,44,14,837,true,false
266,418,1,2023-10-26,1,8,28,55,,839,true,false
267,419,1,2019-11-17,1,9,31,58,18,842,true,false
268,422,2,2018-10-27,1,4,15,26,,847,true,false
269,423,2,2026-03-24,1,10,33,62,,849,true,false
270,427,1,2022-05-03,1,1,3,4,1,859,true,false
271,428,1,2019-07-12,1,4,16,27,7,862,true,false
272,429,1,2018-09-11,1,2,9,17,,863,true,false
273,431,1,2019-01-17,1,6,21,38,,868,true,false
274,432,1,2025-08-17,1,8,27,51,,871,true,false
275,433,2,2025-05-08,1,5,19,34,,872,true,true
276,434,1,2026-01-11,1,9,31,60,,874,true,false
277,435,1,2022-01-26,1,4,16,27,,875,true,false
278,437,1,2022-03-16,1,8,28,55,15,879,true,false
279,438,1,2018-06-27,1,1,3,3,,881,true,false
280,444,1,2025-02-08,1,6,22,41,,893,true,false
281,445,1,2026-10-03,1,10,34,66,,896,true,false
282,447,1,2024-07-21,1,3,12,20,6,899,true,false
283,448,1,2024-09-30,1,5,18,30,,900,true,false
284,452,1,2023-12-17,1,2,10,19,,908,true,false
285,453,1,2023-01-18,1,3,13,23,5,911,true,false
286,454,1,2021-10-11,1,10,33,63,,912,true,false
287,455,1,2023-04-26,1,4,16,28,7,913,true,false
288,458,1,2025-12-13,1,5,19,33,9,920,true,false
289,459,1,2024-09-02,1,8,27,52,,921,true,false
290,460,1,2022-01-01,1,6,21,37,11,924,true,false
291,462,1,2020-06-27,1,1,4,7,1,929,true,false
292,463,1,2018-09-08,1,2,9,17,4,932,true,false
293,464,1,2020-03-10,1,7,25,48,,934,true,false
294,465,1,2019-12-14,1,9,30,57,18,937,true,false
295,468,1,2025-05-02,1,8,28,55,,945,true,false
296,469,1,2021-01-13,1,9,31,59,,946,true,false
297,471,1,2026-11-08,1,1,6,12,1,950,true,false
298,472,1,2018-04-14,1,10,33,63,19,951,true,false
299,473,1,2025-07-15,1,1,3,5,,952,true,false
300,474,1,2024-07-13,1,3,13,22,,953,true,false
301,476,1,2018-03-30,1,7,25,48,13,956,true,false
302,477,1,2025-01-27,1,3,13,23,5,959,true,false
303,478,2,2020-03-22,1,3,12,21,5,961,true,false
304,480,1,2024-09-18,1,4,16,28,7,966,true,false
305,481,1,2024-09-15,1,4,15,24,7,968,true,false
306,482,1,2020-08-30,1,6,21,38,,969,true,false
307,483,1,2021-11-21,1,5,19,34,,970,true,false
308,484,1,2018-01-22,1,10,33,62,19,973,true,false
309,485,1,2025-02-10,1,3,13,22,,976,true,false
310,487,1,2020-10-14,1,8,27,53,16,980,true,false
311,488,1,2024-04-03,1,6,21,38,11,981,true,false
312,490,2,2021-11-10,1,2,10,18,3,983,true,false
313,491,1,2024-08-27,1,4,16,28,8,984,true,false
314,493,1,2026-03-08,1,2,8,14,3,990,true,false
315,494,1,2018-04-28,1,8,28,54,16,992,true,false
316,495,1,2020-06-30,1,8,27,53,15,995,true,false
317,496,1,2025-05-20,1,10,33,64,,998,true,false
318,497,1,2023-01-24,1,6,21,38,12,1000,true,false
319,498,1,2021-10-11,1,6,21,37,11,1003,true,false
