CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID
79,100060022201800001,201800001,2018-02-13,41,22,1,2,2,2,2,
80,100010006202100001,202100001,2021-12-16,12,6,1,1,1,7,2,2
81,100100033202500001,202500001,2025-07-14,64,33,1,2,4,12,6,20
82,100050018202500001,202500001,2025-10-03,30,18,1,2,2,1,2,9
83,400070025202600001,202600001,2026-08-09,48,25,4,1,5,14,1,13
84,100080027202400001,202400001,2024-10-23,53,27,1,2,4,13,6,
85,100060021201900001,201900001,2019-03-14,39,21,1,2,2,5,5,12
86,100080027202100002,202100002,2021-11-11,52,27,1,2,4,11,5,16
87,100050019202400002,202400002,2024-04-01,34,19,1,1,1,7,1,
88,100050018202600001,202600001,2026-12-10,30,18,1,1,2,3,6,
89,100080027201900001,201900001,2019-08-21,50,27,1,2,3,9,3,
90,100100034201900001,201900001,2019-08-30,67,34,1,2,6,15,2,20
91,100080027202300002,202300002,2023-10-09,51,27,1,2,2,4,2,15
92,100080028202100001,202100001,2021-12-27,54,28,1,1,2,3,4,
93,100020008202100001,202100001,2021-05-03,14,8,1,2,4,12,2,
94,100080028202300001,202300001,2023-07-08,55,28,1,1,2,3,4,16
95,100010003202100002,202100002,2021-06-23,5,3,1,1,3,10,3,2
96,100020010202600001,202600001,2026-06-17,19,10,1,1,5,14,6,
97,100070025202500002,202500002,2025-01-24,46,25,1,2,2,1,6,14
98,100050019202400003,202400003,2024-12-09,35,19,1,2,1,6,6,10
99,100050019202600001,202600001,2026-06-28,34,19,1,1,3,10,6,
100,100020008201800001,201800001,2018-10-12,15,8,1,2,2,5,4,4
101,100080028201800002,201800002,2018-08-22,54,28,1,1,2,3,4,
102,100050018202600002,202600002,2026-06-29,30,18,1,2,4,12,1,
103,100050019202500001,202500001,2025-04-20,33,19,1,1,2,3,1,10
104,200040016202000001,202000001,2020-11-30,27,16,2,1,1,8,5,7
105,100080028201800003,201800003,2018-12-21,55,28,1,2,2,1,3,16
106,100050018202300001,202300001,2023-05-07,29,18,1,2,2,4,3,9
107,100080027202600001,202600001,2026-09-27,51,27,1,2,6,15,2,
108,200040015201900001,201900001,2019-12-10,24,15,2,2,1,6,2,
109,100020010201900001,201900001,2019-03-21,18,10,1,2,4,12,2,4
110,400050019202600001,202600001,2026-08-28,32,19,4,2,2,2,1,
111,100080027202600002,202600002,2026-10-16,51,27,1,2,2,5,2,
112,100060022202400001,202400001,2024-04-09,40,22,1,2,2,1,6,11
113,100090030202000002,202000002,2020-09-20,57,30,1,1,1,8,2,17
114,100060022202200001,202200001,2022-12-30,40,22,1,2,2,1,4,11
115,300020009201900001,201900001,2019-08-19,16,9,3,2,2,4,3,4
116,100060022201900003,201900003,2019-01-24,40,22,1,1,1,8,4,12
117,100100034202100002,202100002,2021-06-13,68,34,1,2,4,11,3,20
118,100060022202100001,202100001,2021-02-17,41,22,1,1,3,10,4,11
119,100020008201900002,201900002,2019-04-12,15,8,1,2,3,9,4,
120,100080028202500001,202500001,2025-07-28,55,28,1,1,5,14,6,
121,100030012202200001,202200001,2022-05-14,21,12,1,1,5,14,4,5
122,100060021202100003,202100003,2021-12-04,37,21,1,2,3,9,2,11
123,100080028202300002,202300002,2023-06-23,55,28,1,1,5,14,2,
124,100060022201800002,201800002,2018-11-08,41,22,1,1,5,14,5,12
125,100080028202500002,202500002,2025-06-06,55,28,1,2,4,11,2,
126,100030013202500001,202500001,2025-05-06,23,13,1,2,2,1,2,
127,100050019202300001,202300001,2023-07-05,34,19,1,2,2,1,2,9
128,200090030202100001,202100001,2021-12-18,56,30,2,2,2,2,4,17
129,100080027201800001,201800001,2018-02-10,51,27,1,1,2,3,2,15
130,100050018201900001,201900001,2019-05-23,30,18,1,2,4,11,3,
131,100090031201900001,201900001,2019-08-01,58,31,1,2,6,15,4,
132,100090030202100001,202100001,2021-09-26,57,30,1,1,1,7,4,18
133,100030013202200002,202200002,2022-10-03,22,13,1,2,4,12,2,5
134,100050019202100001,202100001,2021-11-30,34,19,1,1,1,7,5,
135,100080027202400002,202400002,2024-09-05,53,27,1,1,5,14,1,
136,100100033201900001,201900001,2019-04-09,65,33,1,1,2,3,2,19
137,100050019201800001,201800001,2018-05-24,34,19,1,2,1,6,3,
138,100060021202300001,202300001,2023-05-18,39,21,1,2,2,1,2,
139,100040015202100001,202100001,2021-03-16,26,15,1,2,2,5,3,
140,100020008202500002,202500002,2025-12-29,14,8,1,1,2,3,6,4
141,300070024202600001,202600001,2026-12-23,45,24,3,2,2,2,6,
142,100030012202300001,202300001,2023-08-19,21,12,1,2,1,6,4,
143,100080027202600003,202600003,2026-03-21,52,27,1,2,6,15,6,16
144,200080027201800001,201800001,2018-12-28,52,27,2,2,4,11,3,16
145,100080027201800002,201800002,2018-03-27,53,27,1,1,1,7,3,15
146,100060021202100004,202100004,2021-11-05,36,21,1,2,3,9,3,
147,300070025202300001,202300001,2023-05-04,47,25,3,2,2,5,4,
148,100010004201900002,201900002,2019-11-09,7,4,1,1,2,3,2,
149,200090031202500001,202500001,2025-10-24,61,31,2,2,2,2,1,
150,100030013202200003,202200003,2022-12-26,22,13,1,2,1,6,3,5
151,400030012201800001,201800001,2018-08-06,21,12,4,2,4,12,2,5
152,100080028202300003,202300003,2023-03-20,55,28,1,2,3,9,5,16
153,100070025202200001,202200001,2022-09-08,47,25,1,2,4,11,2,
154,100090031202400001,202400001,2024-01-19,60,31,1,2,6,15,6,
155,100090030202000003,202000003,2020-12-28,56,30,1,2,2,1,5,18
156,100040016202200002,202200002,2022-05-07,28,16,1,2,2,4,2,
157,100020010202500001,202500001,2025-03-05,18,10,1,2,1,6,2,3
158,100070024202600002,202600002,2026-08-31,45,24,1,1,1,8,2,13
159,100070024202500001,202500001,2025-07-07,43,24,1,1,1,7,6,14
160,100060022202400002,202400002,2024-03-05,40,22,1,2,4,13,6,11
161,100010003202200001,202200001,2022-08-12,5,3,1,1,1,8,5,
162,100100034202000002,202000002,2020-03-11,66,34,1,2,4,12,2,20
163,400100033202400001,202400001,2024-07-11,63,33,4,2,4,11,1,20
164,100060021202400001,202400001,2024-10-03,38,21,1,2,2,5,6,
165,100040015202200001,202200001,2022-04-28,26,15,1,2,1,6,2,
166,100070025202100003,202100003,2021-09-10,48,25,1,2,3,9,5,
167,300040015201900001,201900001,2019-05-30,25,15,3,1,3,10,2,
168,100070025202000002,202000002,2020-10-03,48,25,1,2,2,4,5,
169,100070024202100001,202100001,2021-07-26,42,24,1,1,1,7,4,14
170,300080027202600001,202600001,2026-06-01,52,27,3,2,4,11,1,
171,100070025202300001,202300001,2023-06-12,47,25,1,2,4,12,3,13
172,100050018201800002,201800002,2018-06-28,31,18,1,2,3,9,4,
173,100030012202100002,202100002,2021-01-22,21,12,1,2,4,13,4,6
174,100080027202400003,202400003,2024-06-05,51,27,1,2,4,12,2,
175,100030012201900001,201900001,2019-06-01,21,12,1,2,4,13,4,
176,200080028202300001,202300001,2023-08-30,55,28,2,2,2,5,5,
177,100030013202400001,202400001,2024-11-01,22,13,1,1,1,8,6,
178,100050019202300002,202300002,2023-01-17,33,19,1,1,5,14,4,9
179,100040015202100002,202100002,2021-11-12,24,15,1,1,2,3,5,
180,100030012202100003,202100003,2021-06-09,21,12,1,2,2,5,2,
181,300020010202100001,202100001,2021-12-06,18,10,3,2,4,11,3,3
182,100090031202200001,202200001,2022-05-31,59,31,1,1,1,7,5,18
183,100060022202000001,202000001,2020-11-26,40,22,1,2,2,2,4,11
184,200100034201800001,201800001,2018-03-07,67,34,2,2,2,4,4,
185,100100033202400002,202400002,2024-03-10,65,33,1,2,2,1,1,19
186,100010003202500001,202500001,2025-05-09,5,3,1,2,2,5,6,
187,100040016202000001,202000001,2020-05-04,28,16,1,1,2,3,4,
188,100090030202100002,202100002,2021-11-15,56,30,1,1,5,14,5,18
189,100070025202000003,202000003,2020-09-28,46,25,1,2,2,1,2,
190,100080027201800003,201800003,2018-11-21,52,27,1,2,4,11,2,
191,100040015202300002,202300002,2023-02-05,25,15,1,2,4,13,2,8
192,100050018202500002,202500002,2025-09-09,31,18,1,1,3,10,1,9
193,400050019201900001,201900001,2019-05-03,34,19,4,1,1,8,4,
194,300080027202200002,202200002,2022-04-17,50,27,3,2,3,9,3,16
195,100060021202100005,202100005,2021-11-02,39,21,1,2,2,4,3,
196,100050019201900002,201900002,2019-01-24,34,19,1,2,4,12,2,
197,100100034202400001,202400001,2024-12-18,69,34,1,2,2,1,2,20
198,100100034202200002,202200002,2022-11-14,69,34,1,1,3,10,2,
199,100030012202000001,202000001,2020-12-11,20,12,1,1,3,10,3,5
200,100060021202200002,202200002,2022-03-19,39,21,1,1,1,7,3,12
201,100070024202600003,202600003,2026-05-31,43,24,1,2,4,13,2,13
202,400060021202300002,202300002,2023-06-06,37,21,4,1,1,7,2,
203,100010003202400001,202400001,2024-09-29,4,3,1,1,3,10,6,1
204,100040016202400001,202400001,2024-08-27,28,16,1,2,2,1,2,7
205,200060021202400001,202400001,2024-12-27,37,21,2,1,1,8,2,
206,100050019201800002,201800002,2018-01-03,33,19,1,1,3,10,2,
207,100020010202100001,202100001,2021-12-29,18,10,1,1,5,14,2,4
208,100030012202100004,202100004,2021-05-03,21,12,1,2,6,15,2,
209,100050019202500002,202500002,2025-07-24,33,19,1,1,3,10,1,10
210,100100033202300001,202300001,2023-02-02,65,33,1,2,2,4,2,20
211,100070025202300002,202300002,2023-05-29,48,25,1,2,2,4,2,
212,100060022202500001,202500001,2025-01-19,41,22,1,2,3,9,2,11
213,200080027202000001,202000001,2020-10-12,50,27,2,1,5,14,3,
214,100060021202400002,202400002,2024-02-21,39,21,1,1,1,8,6,
215,100020010202600002,202600002,2026-08-21,19,10,1,2,2,2,1,
216,300040016202400001,202400001,2024-04-15,27,16,3,2,2,1,6,
217,100060022202200002,202200002,2022-10-08,40,22,1,2,2,1,3,12
218,100050018202600003,202600003,2026-01-22,31,18,1,2,6,15,2,10
219,100020009202600001,202600001,2026-03-05,16,9,1,2,4,11,2,3
220,100090031202300001,202300001,2023-05-29,60,31,1,1,5,14,4,
221,100010002202100001,202100001,2021-04-06,1,2,1,2,2,4,2,
222,100060021202600001,202600001,2026-04-09,37,21,1,2,4,13,1,11
223,100090031202000001,202000001,2020-11-10,60,31,1,2,2,4,5,
224,100010002202100002,202100002,2021-03-14,1,2,1,2,4,13,4,
225,100030012202500001,202500001,2025-08-04,20,12,1,2,6,15,1,6
226,100100033202200002,202200002,2022-12-01,64,33,1,2,4,13,3,19
227,100090031202300002,202300002,2023-12-13,59,31,1,1,2,3,3,18
228,100010002201900001,201900001,2019-03-11,2,2,1,2,2,2,4,1
229,100040015201900002,201900002,2019-06-17,24,15,1,2,1,6,2,
230,100060022202300002,202300002,2023-06-28,41,22,1,1,1,8,5,12
231,100100034202000003,202000003,2020-10-18,69,34,1,2,6,15,3,20
232,400090030202100001,202100001,2021-03-17,57,30,4,1,5,14,3,18
233,100010003202300001,202300001,2023-12-27,4,3,1,2,3,9,5,
234,100090031202400002,202400002,2024-09-10,59,31,1,1,1,7,2,
235,100080028202300004,202300004,2023-10-24,55,28,1,1,2,3,2,16
236,100080027202200002,202200002,2022-09-05,53,27,1,2,4,13,5,
237,100040015202300003,202300003,2023-02-14,25,15,1,2,3,9,2,
238,100100033202300002,202300002,2023-07-29,62,33,1,2,4,13,2,
239,100060021202500001,202500001,2025-03-27,37,21,1,1,1,8,2,12
240,100060022202600001,202600001,2026-05-05,40,22,1,1,1,8,6,11
241,100010006201800001,201800001,2018-07-02,13,6,1,1,1,8,2,
242,100070024202400002,202400002,2024-02-22,44,24,1,2,3,9,1,13
243,100100033202400003,202400003,2024-02-16,63,33,1,2,2,2,6,19
244,100060022202000002,202000002,2020-12-06,40,22,1,1,3,10,4,11
245,100080028202000001,202000001,2020-11-29,54,28,1,1,3,10,5,15
246,100030013202600002,202600002,2026-08-06,22,13,1,2,2,1,6,
247,100060022201800003,201800003,2018-07-10,40,22,1,1,2,3,5,11
248,100090031202100001,202100001,2021-04-19,61,31,1,1,5,14,2,17
249,100070024201800001,201800001,2018-05-05,42,24,1,2,4,11,2,
250,100100033202400004,202400004,2024-05-30,63,33,1,2,6,15,1,19
251,300030012202200001,202200001,2022-07-09,20,12,3,2,2,1,2,
252,100060021202100006,202100006,2021-01-20,36,21,1,2,1,6,3,11
253,100030013202400002,202400002,2024-07-08,22,13,1,1,1,7,2,5
254,100060021201800001,201800001,2018-01-06,38,21,1,2,2,5,5,
255,100040015201800001,201800001,2018-01-14,24,15,1,2,6,15,2,8
256,100050019202300003,202300003,2023-03-17,35,19,1,1,1,8,4,10
257,100040015202100003,202100003,2021-10-31,24,15,1,2,1,6,3,
258,100090030202400001,202400001,2024-11-15,56,30,1,2,3,9,6,18
259,100050019202300004,202300004,2023-03-13,34,19,1,2,4,12,4,
260,400090030202600001,202600001,2026-01-04,56,30,4,1,2,3,2,17
261,100030013202500002,202500002,2025-10-30,23,13,1,2,1,6,6,6
262,100060021202300002,202300002,2023-06-21,37,21,1,2,3,9,4,
263,100100033201900002,201900002,2019-10-08,62,33,1,2,2,2,5,20
264,100020010202300001,202300001,2023-09-11,19,10,1,2,4,12,2,4
265,100070024202600004,202600004,2026-06-11,44,24,1,2,3,9,1,13
266,100030013202300001,202300001,2023-11-02,22,13,1,2,1,6,2,
267,100010003202100003,202100003,2021-04-11,4,3,1,2,2,5,2,1
268,100090030202200001,202200001,2022-01-14,57,30,1,2,2,1,3,17
269,300010005202600001,202600001,2026-10-24,8,5,3,2,6,15,2,
270,100060021202500002,202500002,2025-03-31,38,21,1,2,2,4,2,
271,100060022201900004,201900004,2019-05-05,41,22,1,1,3,10,4,
272,100040016202300002,202300002,2023-09-18,27,16,1,1,1,8,5,7
273,100020008202300001,202300001,2023-03-07,14,8,1,1,1,7,2,
274,100010004202100001,202100001,2021-07-23,7,4,1,2,1,6,2,
275,100020010202000002,202000002,2020-06-12,18,10,1,2,3,9,3,3
276,100040015201900003,201900003,2019-12-11,26,15,1,2,4,13,5,
277,300100034202600001,202600001,2026-07-28,68,34,3,2,2,4,6,19
278,100030013202400003,202400003,2024-06-17,22,13,1,2,4,12,6,
279,100070025202100004,202100004,2021-08-14,49,25,1,2,4,12,4,13
280,100020009202100002,202100002,2021-06-13,17,9,1,2,3,9,4,3
281,100050018202600004,202600004,2026-01-19,31,18,1,2,2,2,1,
282,300100034201900001,201900001,2019-12-18,67,34,3,2,2,5,5,20
283,400020010202600001,202600001,2026-04-22,18,10,4,1,1,7,2,3
284,100020009202500002,202500002,2025-12-16,16,9,1,2,1,6,1,4
285,100010006202000001,202000001,2020-02-28,13,6,1,2,2,5,2,2
286,100070024202500002,202500002,2025-10-03,43,24,1,1,1,8,2,
287,100030012202400001,202400001,2024-08-28,20,12,1,2,4,13,1,
288,100080027202100003,202100003,2021-07-21,52,27,1,2,2,1,2,
289,100100033202300003,202300003,2023-12-23,63,33,1,2,4,13,2,
290,100020008202100002,202100002,2021-08-31,15,8,1,2,2,2,3,
291,100020010202300002,202300002,2023-07-13,18,10,1,2,2,5,2,
292,400070025202300001,202300001,2023-02-06,46,25,4,2,2,4,4,13
293,100030013202200004,202200004,2022-07-19,23,13,1,1,3,10,2,
294,100050018202400002,202400002,2024-03-20,31,18,1,2,4,13,6,
295,200010003202600001,202600001,2026-08-30,3,3,2,2,2,4,1,2
296,100020009201800001,201800001,2018-04-04,17,9,1,2,2,5,4,3
297,100060021201800002,201800002,2018-01-06,37,21,1,2,2,2,2,
298,100090031201900002,201900002,2019-04-26,60,31,1,1,3,10,3,18
299,400060022202400001,202400001,2024-04-28,40,22,4,2,2,2,6,11
300,100030013201900001,201900001,2019-09-08,23,13,1,1,1,7,2,
301,100090031202000002,202000002,2020-03-01,61,31,1,1,5,14,5,
302,100040016202300003,202300003,2023-01-18,27,16,1,1,3,10,5,
303,100040016201900001,201900001,2019-12-08,28,16,1,2,2,4,5,7
304,100040015202300004,202300004,2023-05-19,24,15,1,2,4,13,5,8
305,100070024202000001,202000001,2020-03-30,45,24,1,1,2,3,3,
306,100080027202100004,202100004,2021-02-08,52,27,1,2,1,6,2,15
307,100070024202100002,202100002,2021-10-01,42,24,1,2,4,12,5,
308,100090030202400002,202400002,2024-06-16,56,30,1,2,2,4,2,18
309,100060021202400003,202400003,2024-05-10,37,21,1,2,2,4,6,11
310,100100033202500002,202500002,2025-12-28,64,33,1,2,2,1,1,
311,200050018201800001,201800001,2018-08-16,31,18,2,1,1,8,2,
312,200030012201900001,201900001,2019-12-30,20,12,2,1,1,7,2,6
313,100100034202100003,202100003,2021-09-20,67,34,1,1,2,3,4,19
314,100010004202200001,202200001,2022-10-31,7,4,1,2,4,11,5,1
315,100030012201800001,201800001,2018-06-04,20,12,1,2,4,11,4,5
316,100050018202200001,202200001,2022-07-26,31,18,1,2,2,1,5,
317,100050018202400003,202400003,2024-12-24,31,18,1,2,2,1,2,
318,100030013202300002,202300002,2023-07-12,23,13,1,1,3,10,5,
319,400060021201900001,201900001,2019-03-07,37,21,4,2,4,12,4,
320,100030012202200002,202200002,2022-02-25,20,12,1,2,2,2,4,6
321,100020010202600003,202600003,2026-07-24,18,10,1,2,2,2,2,3
322,100090031201900003,201900003,2019-02-21,59,31,1,1,2,3,5,17
323,400010002202400001,202400001,2024-09-14,2,2,4,1,5,14,2,1
324,200080028201900001,201900001,2019-02-19,54,28,2,2,3,9,3,15
325,100070025202600001,202600001,2026-09-29,48,25,1,2,2,1,2,
326,100010002201900002,201900002,2019-04-14,1,2,1,1,3,10,2,2
327,100010003201900001,201900001,2019-08-16,5,3,1,2,2,1,4,2
328,100100034201800001,201800001,2018-12-15,69,34,1,2,4,12,5,
329,100090031202100002,202100002,2021-06-12,58,31,1,2,2,1,2,
330,100060022201900005,201900005,2019-07-22,40,22,1,2,2,5,4,
331,100040015202200002,202200002,2022-11-29,26,15,1,1,3,10,3,
332,100040016202100001,202100001,2021-06-07,27,16,1,1,3,10,4,8
333,300020008202400001,202400001,2024-01-08,14,8,3,1,1,8,2,
334,100030012202100005,202100005,2021-10-18,20,12,1,2,3,9,2,
335,100060022201800004,201800004,2018-06-22,41,22,1,2,2,4,3,
336,100010006202100002,202100002,2021-09-08,12,6,1,1,1,7,3,2
337,100040015202100004,202100004,2021-09-27,24,15,1,2,2,1,5,7
338,100060021201900002,201900002,2019-11-25,37,21,1,2,2,2,3,11
339,100050019201800003,201800003,2018-03-21,35,19,1,1,3,10,4,
340,100080027202500001,202500001,2025-04-14,52,27,1,2,2,5,2,15
341,100050019202500003,202500003,2025-12-04,35,19,1,2,6,15,2,
342,100090031202400003,202400003,2024-11-30,58,31,1,2,2,1,6,17
343,100010005202300001,202300001,2023-02-04,8,5,1,2,4,11,5,1
344,100040015202000001,202000001,2020-10-25,25,15,1,2,4,12,5,
345,100030012202400002,202400002,2024-10-13,20,12,1,1,1,7,2,6
346,200070024202100001,202100001,2021-12-12,44,24,2,1,1,7,3,14
347,100070025202500003,202500003,2025-12-02,47,25,1,1,3,10,6,14
348,100070025202400001,202400001,2024-12-19,48,25,1,2,2,4,1,
349,100050019202000001,202000001,2020-01-03,33,19,1,1,2,3,2,10
350,100020008202500003,202500003,2025-03-20,14,8,1,2,2,4,6,4
351,100020009202500003,202500003,2025-12-24,16,9,1,2,4,12,1,4
352,100070024201900002,201900002,2019-11-26,44,24,1,2,1,6,5,14
353,100020009202000001,202000001,2020-05-23,17,9,1,2,2,1,3,4
354,100010004201900003,201900003,2019-05-11,6,4,1,2,2,2,3,2
355,100100033202500003,202500003,2025-06-13,64,33,1,1,5,14,1,20
356,100010005202200001,202200001,2022-10-26,9,5,1,1,2,3,4,1
357,300030013202100001,202100001,2021-11-18,23,13,3,2,6,15,5,5
358,100060022201800005,201800005,2018-01-31,41,22,1,2,2,2,5,
359,100010002202100003,202100003,2021-05-07,2,2,1,1,2,3,2,2
360,100010002202300001,202300001,2023-08-04,2,2,1,2,2,5,4,2
361,100100034202000004,202000004,2020-04-01,67,34,1,1,5,14,3,
362,100040016202300004,202300004,2023-08-09,27,16,1,2,3,9,3,7
363,200040015202500001,202500001,2025-04-04,24,15,2,2,4,13,2,
364,100040016202500001,202500001,2025-03-20,27,16,1,2,3,9,1,8
365,300040016202100001,202100001,2021-05-14,27,16,3,2,1,6,4,7
366,100090030202500001,202500001,2025-10-14,56,30,1,2,6,15,6,18
367,100090030202300002,202300002,2023-03-19,56,30,1,1,1,7,5,18
368,100030013201800001,201800001,2018-03-05,22,13,1,1,3,10,4,5
369,300080028202400001,202400001,2024-04-12,54,28,3,2,6,15,6,15
370,100010003202300002,202300002,2023-12-09,4,3,1,1,5,14,5,2
371,100010004202200002,202200002,2022-03-19,7,4,1,2,2,2,4,1
372,100100034202300001,202300001,2023-05-28,67,34,1,1,2,3,4,20
373,100030013202400004,202400004,2024-06-08,22,13,1,2,4,12,6,5
374,100060022202300003,202300003,2023-02-19,40,22,1,2,1,6,4,
375,100050018201800003,201800003,2018-01-18,30,18,1,2,2,5,5,10
376,100030012202300002,202300002,2023-02-04,21,12,1,1,2,3,3,
377,100050018202200002,202200002,2022-12-24,31,18,1,2,3,9,3,
378,100080028202100002,202100002,2021-10-31,54,28,1,2,3,9,2,
379,100090031202500002,202500002,2025-06-21,58,31,1,1,3,10,6,18
380,100030012202600001,202600001,2026-04-25,20,12,1,1,5,14,1,5
381,100010004202500002,202500002,2025-07-06,7,4,1,2,6,15,1,1
382,100010006201800002,201800002,2018-12-08,12,6,1,2,2,1,4,2
383,200090031202600001,202600001,2026-02-21,59,31,2,2,2,1,2,17
384,100030012202200003,202200003,2022-11-11,21,12,1,2,6,15,5,
385,100020009202500004,202500004,2025-04-14,17,9,1,2,2,2,6,4
386,100030012201900002,201900002,2019-12-11,20,12,1,2,2,1,5,
387,100060021202300003,202300003,2023-01-21,38,21,1,2,2,5,2,
