rel_id,from_id,from_type,to_id,to_type,rel_type,strength,CaseMasterID
R351,550,Accused,552,Accused,CO-ACCUSED,0.73,283
R352,551,Accused,552,Accused,CO-ACCUSED,0.9,283
R353,553,Accused,554,Accused,CO-ACCUSED,1,284
R354,555,Accused,556,Accused,CO-ACCUSED,0.69,285
R355,555,Accused,557,Accused,CO-ACCUSED,0.94,285
R356,556,Accused,557,Accused,CO-ACCUSED,0.88,285
R357,558,Accused,559,Accused,CO-ACCUSED,0.73,286
R358,558,Accused,560,Accused,CO-ACCUSED,0.87,286
R359,559,Accused,560,Accused,CO-ACCUSED,0.82,286
R360,561,Accused,562,Accused,CO-ACCUSED,0.67,287
R361,564,Accused,565,Accused,CO-ACCUSED,0.88,289
R362,564,Accused,566,Accused,CO-ACCUSED,0.74,289
R363,565,Accused,566,Accused,CO-ACCUSED,0.75,289
R364,570,Accused,571,Accused,CO-ACCUSED,0.96,293
R365,570,Accused,572,Accused,CO-ACCUSED,0.75,293
R366,571,Accused,572,Accused,CO-ACCUSED,0.95,293
R367,574,Accused,575,Accused,CO-ACCUSED,0.92,295
R368,576,Accused,577,Accused,CO-ACCUSED,0.95,296
R369,576,Accused,578,Accused,CO-ACCUSED,0.89,296
R370,577,Accused,578,Accused,CO-ACCUSED,0.64,296
R371,579,Accused,580,Accused,CO-ACCUSED,0.78,297
R372,583,Accused,584,Accused,CO-ACCUSED,0.92,300
R373,583,Accused,585,Accused,CO-ACCUSED,0.85,300
R374,584,Accused,585,Accused,CO-ACCUSED,0.86,300
R375,586,Accused,587,Accused,CO-ACCUSED,0.85,301
R376,586,Accused,588,Accused,CO-ACCUSED,0.64,301
R377,587,Accused,588,Accused,CO-ACCUSED,0.88,301
R378,589,Accused,590,Accused,CO-ACCUSED,0.67,302
R379,589,Accused,591,Accused,CO-ACCUSED,0.99,302
R380,590,Accused,591,Accused,CO-ACCUSED,0.96,302
R381,592,Accused,593,Accused,CO-ACCUSED,0.67,303
R382,592,Accused,594,Accused,CO-ACCUSED,0.64,303
R383,593,Accused,594,Accused,CO-ACCUSED,0.81,303
R384,596,Accused,597,Accused,CO-ACCUSED,0.88,305
R385,596,Accused,598,Accused,CO-ACCUSED,0.68,305
R386,597,Accused,598,Accused,CO-ACCUSED,0.91,305
R387,599,Accused,600,Accused,CO-ACCUSED,0.72,306
R388,599,Accused,601,Accused,CO-ACCUSED,0.85,306
R389,600,Accused,601,Accused,CO-ACCUSED,0.71,306
R390,606,Accused,607,Accused,CO-ACCUSED,0.97,311
R391,606,Accused,608,Accused,CO-ACCUSED,0.93,311
R392,607,Accused,608,Accused,CO-ACCUSED,0.63,311
R393,609,Accused,610,Accused,CO-ACCUSED,0.77,312
R394,611,Accused,612,Accused,CO-ACCUSED,0.68,313
R395,613,Accused,614,Accused,CO-ACCUSED,0.88,314
R396,615,Accused,616,Accused,CO-ACCUSED,0.66,315
R397,615,Accused,617,Accused,CO-ACCUSED,0.63,315
R398,616,Accused,617,Accused,CO-ACCUSED,0.68,315
R399,618,Accused,619,Accused,CO-ACCUSED,0.81,316
R400,618,Accused,620,Accused,CO-ACCUSED,0.83,316
R401,619,Accused,620,Accused,CO-ACCUSED,0.66,316
R402,621,Accused,622,Accused,CO-ACCUSED,0.9,317
R403,621,Accused,623,Accused,CO-ACCUSED,0.7,317
R404,622,Accused,623,Accused,CO-ACCUSED,0.9,317
R405,624,Accused,625,Accused,CO-ACCUSED,0.95,318
R406,624,Accused,626,Accused,CO-ACCUSED,0.66,318
R407,625,Accused,626,Accused,CO-ACCUSED,0.86,318
R408,627,Accused,628,Accused,CO-ACCUSED,0.8,319
R409,629,Accused,630,Accused,CO-ACCUSED,0.93,320
R410,629,Accused,631,Accused,CO-ACCUSED,0.72,320
R411,630,Accused,631,Accused,CO-ACCUSED,0.79,320
R412,633,Accused,634,Accused,CO-ACCUSED,0.85,322
R413,633,Accused,635,Accused,CO-ACCUSED,0.89,322
R414,634,Accused,635,Accused,CO-ACCUSED,0.98,322
R415,637,Accused,638,Accused,CO-ACCUSED,1,324
R416,637,Accused,639,Accused,CO-ACCUSED,0.74,324
R417,638,Accused,639,Accused,CO-ACCUSED,0.93,324
R418,640,Accused,641,Accused,CO-ACCUSED,0.63,325
R419,640,Accused,642,Accused,CO-ACCUSED,0.93,325
R420,641,Accused,642,Accused,CO-ACCUSED,0.71,325
R421,644,Accused,645,Accused,CO-ACCUSED,0.68,327
R422,644,Accused,646,Accused,CO-ACCUSED,0.63,327
R423,645,Accused,646,Accused,CO-ACCUSED,0.8,327
R424,647,Accused,648,Accused,CO-ACCUSED,0.92,328
R425,647,Accused,649,Accused,CO-ACCUSED,0.99,328
R426,648,Accused,649,Accused,CO-ACCUSED,0.87,328
R427,650,Accused,651,Accused,CO-ACCUSED,0.83,329
R428,652,Accused,653,Accused,CO-ACCUSED,0.81,330
R429,652,Accused,654,Accused,CO-ACCUSED,0.98,330
R430,653,Accused,654,Accused,CO-ACCUSED,0.66,330
R431,655,Accused,656,Accused,CO-ACCUSED,0.87,331
R432,657,Accused,658,Accused,CO-ACCUSED,0.85,332
R433,657,Accused,659,Accused,CO-ACCUSED,0.61,332
R434,658,Accused,659,Accused,CO-ACCUSED,0.8,332
R435,660,Accused,661,Accused,CO-ACCUSED,0.83,333
R436,663,Accused,664,Accused,CO-ACCUSED,0.72,335
R437,666,Accused,667,Accused,CO-ACCUSED,0.85,337
R438,666,Accused,668,Accused,CO-ACCUSED,0.94,337
R439,667,Accused,668,Accused,CO-ACCUSED,0.76,337
R440,669,Accused,670,Accused,CO-ACCUSED,0.81,338
R441,671,Accused,672,Accused,CO-ACCUSED,0.98,339
R442,671,Accused,673,Accused,CO-ACCUSED,0.78,339
R443,672,Accused,673,Accused,CO-ACCUSED,0.8,339
R444,676,Accused,677,Accused,CO-ACCUSED,0.63,342
R445,678,Accused,679,Accused,CO-ACCUSED,0.81,343
R446,680,Accused,681,Accused,CO-ACCUSED,0.68,344
R447,680,Accused,682,Accused,CO-ACCUSED,0.86,344
R448,681,Accused,682,Accused,CO-ACCUSED,0.79,344
R449,684,Accused,685,Accused,CO-ACCUSED,0.91,346
