CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
231,ITACT,66C,1,1
231,ITACT,66D,2,2
232,NDPS,20,1,1
232,NDPS,21,2,2
233,IPC,498A,1,1
233,DVACT,1,2,2
234,IPC,302,1,1
234,IPC,307,2,2
235,IPC,392,1,1
235,IPC,393,2,2
236,CUSTOMS,135,1,1
236,IPC,120B,2,2
237,IPC,498A,1,1
237,DVACT,1,2,2
238,CUSTOMS,135,1,1
238,IPC,120B,2,2
239,IPC,363,1,1
239,IPC,364,2,2
240,IPC,363,1,1
240,IPC,364,2,2
241,IPC,363,1,1
241,IPC,364,2,2
242,IPC,498A,1,1
242,DVACT,1,2,2
243,IPC,457,1,1
243,IPC,380,2,2
244,POCSO,4,1,1
244,POCSO,6,2,2
245,POCSO,4,1,1
245,POCSO,6,2,2
246,IPC,379,1,1
246,IPC,380,2,2
247,IPC,392,1,1
247,IPC,393,2,2
248,NDPS,20,1,1
248,NDPS,21,2,2
249,IPC,420,1,1
249,IPC,406,2,2
250,ITACT,66C,1,1
250,ITACT,66D,2,2
251,IPC,379,1,1
251,IPC,380,2,2
252,IPC,323,1,1
252,IPC,324,2,2
253,IPC,302,1,1
253,IPC,307,2,2
254,IPC,379,1,1
254,IPC,356,2,2
255,ITACT,66C,1,1
255,ITACT,66D,2,2
256,IPC,363,1,1
256,IPC,364,2,2
257,IPC,323,1,1
257,IPC,324,2,2
258,IPC,498A,1,1
258,DVACT,1,2,2
259,IPC,420,1,1
259,IPC,467,2,2
260,IPC,392,1,1
260,IPC,393,2,2
261,IPC,323,1,1
261,IPC,324,2,2
262,IPC,498A,1,1
262,DVACT,1,2,2
263,IPC,457,1,1
263,IPC,380,2,2
264,IPC,420,1,1
264,IPC,467,2,2
265,IPC,498A,1,1
265,DVACT,1,2,2
266,IPC,323,1,1
266,IPC,324,2,2
267,IPC,379,1,1
267,IPC,356,2,2
268,IPC,379,1,1
268,IPC,380,2,2
269,ITACT,66C,1,1
269,ITACT,66D,2,2
270,IPC,379,1,1
270,IPC,411,2,2
271,POCSO,4,1,1
271,POCSO,6,2,2
272,IPC,363,1,1
272,IPC,364,2,2
273,IPC,302,1,1
273,IPC,307,2,2
274,IPC,323,1,1
274,IPC,324,2,2
275,IPC,498A,1,1
275,DVACT,1,2,2
276,CUSTOMS,135,1,1
276,IPC,120B,2,2
277,IPC,379,1,1
277,IPC,411,2,2
278,IPC,420,1,1
278,IPC,467,2,2
279,IPC,420,1,1
279,IPC,467,2,2
280,IPC,498A,1,1
280,DVACT,1,2,2
281,IPC,457,1,1
281,IPC,380,2,2
282,IPC,379,1,1
282,IPC,356,2,2
283,IPC,302,1,1
283,IPC,307,2,2
284,IPC,323,1,1
284,IPC,324,2,2
285,IPC,379,1,1
285,IPC,356,2,2
286,IPC,363,1,1
286,IPC,364,2,2
287,CUSTOMS,135,1,1
287,IPC,120B,2,2
288,IPC,379,1,1
288,IPC,380,2,2
289,CUSTOMS,135,1,1
289,IPC,120B,2,2
290,IPC,457,1,1
290,IPC,380,2,2
291,IPC,379,1,1
291,IPC,356,2,2
292,IPC,379,1,1
292,IPC,411,2,2
293,POCSO,4,1,1
293,POCSO,6,2,2
294,CUSTOMS,135,1,1
294,IPC,120B,2,2
295,IPC,379,1,1
295,IPC,411,2,2
296,IPC,379,1,1
296,IPC,356,2,2
297,IPC,457,1,1
297,IPC,380,2,2
298,POCSO,4,1,1
298,POCSO,6,2,2
299,IPC,457,1,1
299,IPC,380,2,2
300,IPC,302,1,1
300,IPC,307,2,2
301,NDPS,20,1,1
301,NDPS,21,2,2
302,POCSO,4,1,1
302,POCSO,6,2,2
303,IPC,379,1,1
303,IPC,411,2,2
304,CUSTOMS,135,1,1
304,IPC,120B,2,2
305,IPC,392,1,1
305,IPC,393,2,2
306,IPC,323,1,1
306,IPC,324,2,2
307,IPC,420,1,1
307,IPC,467,2,2
308,IPC,379,1,1
308,IPC,411,2,2
309,IPC,379,1,1
309,IPC,411,2,2
310,IPC,379,1,1
310,IPC,380,2,2
311,IPC,363,1,1
311,IPC,364,2,2
312,IPC,302,1,1
312,IPC,307,2,2
313,IPC,392,1,1
313,IPC,393,2,2
314,IPC,420,1,1
314,IPC,406,2,2
315,IPC,420,1,1
315,IPC,406,2,2
316,IPC,379,1,1
316,IPC,380,2,2
317,IPC,379,1,1
317,IPC,380,2,2
318,POCSO,4,1,1
318,POCSO,6,2,2
319,IPC,420,1,1
319,IPC,467,2,2
320,IPC,457,1,1
320,IPC,380,2,2
321,IPC,457,1,1
321,IPC,380,2,2
322,IPC,392,1,1
322,IPC,393,2,2
323,NDPS,20,1,1
323,NDPS,21,2,2
324,IPC,498A,1,1
324,DVACT,1,2,2
325,IPC,379,1,1
325,IPC,380,2,2
326,POCSO,4,1,1
326,POCSO,6,2,2
327,IPC,379,1,1
327,IPC,380,2,2
328,IPC,420,1,1
328,IPC,467,2,2
329,IPC,379,1,1
329,IPC,380,2,2
330,IPC,379,1,1
330,IPC,356,2,2
331,POCSO,4,1,1
331,POCSO,6,2,2
332,POCSO,4,1,1
332,POCSO,6,2,2
333,IPC,363,1,1
333,IPC,364,2,2
334,IPC,498A,1,1
334,DVACT,1,2,2
335,IPC,379,1,1
335,IPC,411,2,2
336,IPC,302,1,1
336,IPC,307,2,2
337,IPC,379,1,1
337,IPC,380,2,2
338,IPC,457,1,1
338,IPC,380,2,2
339,POCSO,4,1,1
339,POCSO,6,2,2
340,IPC,379,1,1
340,IPC,356,2,2
341,ITACT,66C,1,1
341,ITACT,66D,2,2
342,IPC,379,1,1
342,IPC,380,2,2
343,IPC,420,1,1
343,IPC,406,2,2
344,IPC,420,1,1
344,IPC,467,2,2
345,IPC,302,1,1
345,IPC,307,2,2
346,IPC,302,1,1
346,IPC,307,2,2
347,POCSO,4,1,1
347,POCSO,6,2,2
348,IPC,379,1,1
348,IPC,411,2,2
349,IPC,392,1,1
349,IPC,393,2,2
350,IPC,379,1,1
350,IPC,411,2,2
351,IPC,420,1,1
351,IPC,467,2,2
352,IPC,323,1,1
352,IPC,324,2,2
353,IPC,379,1,1
353,IPC,380,2,2
354,IPC,457,1,1
354,IPC,380,2,2
355,NDPS,20,1,1
355,NDPS,21,2,2
356,IPC,392,1,1
356,IPC,393,2,2
357,ITACT,66C,1,1
357,ITACT,66D,2,2
358,IPC,457,1,1
358,IPC,380,2,2
359,IPC,392,1,1
359,IPC,393,2,2
360,IPC,379,1,1
360,IPC,356,2,2
361,NDPS,20,1,1
361,NDPS,21,2,2
362,IPC,498A,1,1
362,DVACT,1,2,2
363,CUSTOMS,135,1,1
363,IPC,120B,2,2
364,IPC,498A,1,1
364,DVACT,1,2,2
365,IPC,323,1,1
365,IPC,324,2,2
366,ITACT,66C,1,1
366,ITACT,66D,2,2
367,IPC,302,1,1
367,IPC,307,2,2
368,POCSO,4,1,1
368,POCSO,6,2,2
369,ITACT,66C,1,1
369,ITACT,66D,2,2
370,NDPS,20,1,1
370,NDPS,21,2,2
371,IPC,457,1,1
371,IPC,380,2,2
372,IPC,392,1,1
372,IPC,393,2,2
373,IPC,420,1,1
373,IPC,467,2,2
374,IPC,323,1,1
374,IPC,324,2,2
375,IPC,379,1,1
375,IPC,356,2,2
376,IPC,392,1,1
376,IPC,393,2,2
377,IPC,498A,1,1
377,DVACT,1,2,2
378,IPC,498A,1,1
378,DVACT,1,2,2
379,POCSO,4,1,1
379,POCSO,6,2,2
380,NDPS,20,1,1
380,NDPS,21,2,2
381,ITACT,66C,1,1
381,ITACT,66D,2,2
382,IPC,379,1,1
382,IPC,380,2,2
383,IPC,379,1,1
383,IPC,380,2,2
384,ITACT,66C,1,1
384,ITACT,66D,2,2
385,IPC,457,1,1
385,IPC,380,2,2
386,IPC,379,1,1
386,IPC,380,2,2
387,IPC,379,1,1
387,IPC,356,2,2
388,NDPS,20,1,1
388,NDPS,21,2,2
389,POCSO,4,1,1
389,POCSO,6,2,2
390,CUSTOMS,135,1,1
390,IPC,120B,2,2
391,IPC,379,1,1
391,IPC,380,2,2
392,CUSTOMS,135,1,1
392,IPC,120B,2,2
393,IPC,323,1,1
393,IPC,324,2,2
394,IPC,420,1,1
394,IPC,406,2,2
395,CUSTOMS,135,1,1
395,IPC,120B,2,2
396,IPC,379,1,1
396,IPC,411,2,2
397,IPC,457,1,1
397,IPC,380,2,2
398,IPC,302,1,1
398,IPC,307,2,2
399,IPC,379,1,1
399,IPC,380,2,2
400,IPC,379,1,1
400,IPC,380,2,2
401,IPC,379,1,1
401,IPC,380,2,2
402,ITACT,66C,1,1
402,ITACT,66D,2,2
403,NDPS,20,1,1
403,NDPS,21,2,2
404,IPC,420,1,1
404,IPC,467,2,2
405,IPC,420,1,1
405,IPC,406,2,2
406,IPC,420,1,1
406,IPC,406,2,2
407,CUSTOMS,135,1,1
407,IPC,120B,2,2
408,IPC,379,1,1
408,IPC,356,2,2
409,IPC,420,1,1
409,IPC,406,2,2
410,IPC,498A,1,1
410,DVACT,1,2,2
411,IPC,379,1,1
411,IPC,380,2,2
412,IPC,457,1,1
412,IPC,380,2,2
413,IPC,379,1,1
413,IPC,356,2,2
414,IPC,323,1,1
414,IPC,324,2,2
415,IPC,379,1,1
415,IPC,411,2,2
416,IPC,420,1,1
416,IPC,406,2,2
417,IPC,363,1,1
417,IPC,364,2,2
418,IPC,420,1,1
418,IPC,467,2,2
419,IPC,379,1,1
419,IPC,356,2,2
420,POCSO,4,1,1
420,POCSO,6,2,2
421,IPC,420,1,1
421,IPC,406,2,2
422,ITACT,66C,1,1
422,ITACT,66D,2,2
423,IPC,379,1,1
423,IPC,380,2,2
424,IPC,379,1,1
424,IPC,380,2,2
425,IPC,392,1,1
425,IPC,393,2,2
426,ITACT,66C,1,1
426,ITACT,66D,2,2
427,NDPS,20,1,1
427,NDPS,21,2,2
428,IPC,420,1,1
428,IPC,406,2,2
429,POCSO,4,1,1
429,POCSO,6,2,2
430,ITACT,66C,1,1
430,ITACT,66D,2,2
431,NDPS,20,1,1
431,NDPS,21,2,2
432,IPC,363,1,1
432,IPC,364,2,2
433,IPC,420,1,1
433,IPC,467,2,2
434,IPC,379,1,1
434,IPC,380,2,2
435,POCSO,4,1,1
435,POCSO,6,2,2
436,IPC,379,1,1
436,IPC,380,2,2
437,CUSTOMS,135,1,1
437,IPC,120B,2,2
438,IPC,392,1,1
438,IPC,393,2,2
439,IPC,420,1,1
439,IPC,406,2,2
440,NDPS,20,1,1
440,NDPS,21,2,2
441,IPC,420,1,1
441,IPC,406,2,2
442,IPC,379,1,1
442,IPC,380,2,2
443,ITACT,66C,1,1
443,ITACT,66D,2,2
444,IPC,302,1,1
444,IPC,307,2,2
445,POCSO,4,1,1
445,POCSO,6,2,2
446,CUSTOMS,135,1,1
446,IPC,120B,2,2
447,IPC,363,1,1
447,IPC,364,2,2
448,POCSO,4,1,1
448,POCSO,6,2,2
449,IPC,498A,1,1
449,DVACT,1,2,2
450,ITACT,66C,1,1
450,ITACT,66D,2,2
451,IPC,323,1,1
451,IPC,324,2,2
452,IPC,498A,1,1
452,DVACT,1,2,2
453,IPC,420,1,1
453,IPC,406,2,2
454,IPC,392,1,1
454,IPC,393,2,2
455,IPC,379,1,1
455,IPC,380,2,2
456,IPC,420,1,1
456,IPC,406,2,2
457,IPC,392,1,1
457,IPC,393,2,2
458,IPC,420,1,1
458,IPC,406,2,2
459,IPC,379,1,1
459,IPC,411,2,2
460,IPC,379,1,1
460,IPC,411,2,2
461,ITACT,66C,1,1
461,ITACT,66D,2,2
462,IPC,379,1,1
462,IPC,356,2,2
463,IPC,323,1,1
463,IPC,324,2,2
464,IPC,457,1,1
464,IPC,380,2,2
465,IPC,420,1,1
465,IPC,467,2,2
466,IPC,379,1,1
466,IPC,380,2,2
467,IPC,457,1,1
467,IPC,380,2,2
468,IPC,363,1,1
468,IPC,364,2,2
469,IPC,379,1,1
469,IPC,380,2,2
470,IPC,392,1,1
470,IPC,393,2,2
471,IPC,457,1,1
471,IPC,380,2,2
472,POCSO,4,1,1
472,POCSO,6,2,2
473,IPC,498A,1,1
473,DVACT,1,2,2
474,IPC,363,1,1
474,IPC,364,2,2
475,IPC,363,1,1
475,IPC,364,2,2
476,IPC,379,1,1
476,IPC,411,2,2
477,IPC,457,1,1
477,IPC,380,2,2
478,IPC,323,1,1
478,IPC,324,2,2
479,NDPS,20,1,1
479,NDPS,21,2,2
480,IPC,363,1,1
480,IPC,364,2,2
481,NDPS,20,1,1
481,NDPS,21,2,2
482,NDPS,20,1,1
482,NDPS,21,2,2
483,IPC,420,1,1
483,IPC,467,2,2
484,IPC,302,1,1
484,IPC,307,2,2
485,IPC,498A,1,1
485,DVACT,1,2,2
486,NDPS,20,1,1
486,NDPS,21,2,2
487,IPC,379,1,1
487,IPC,380,2,2
488,IPC,323,1,1
488,IPC,324,2,2
489,NDPS,20,1,1
489,NDPS,21,2,2
490,POCSO,4,1,1
490,POCSO,6,2,2
491,IPC,302,1,1
491,IPC,307,2,2
492,IPC,498A,1,1
492,DVACT,1,2,2
493,IPC,392,1,1
493,IPC,393,2,2
494,IPC,379,1,1
494,IPC,356,2,2
495,IPC,379,1,1
495,IPC,411,2,2
496,IPC,420,1,1
496,IPC,406,2,2
497,IPC,379,1,1
497,IPC,380,2,2
498,IPC,498A,1,1
498,DVACT,1,2,2
499,POCSO,4,1,1
499,POCSO,6,2,2
500,IPC,420,1,1
500,IPC,406,2,2
