CSID,CaseMasterID,csdate,cstype,PolicePersonID
320,404,2020-09-20 04:34:47,C,57
321,405,2025-09-11 11:48:14,A,23
322,406,2023-05-14 22:40:05,A,54
323,407,2024-10-30 01:34:29,A,40
324,408,2023-05-22 02:29:52,A,32
325,409,2020-08-25 09:53:53,A,16
326,410,2021-05-23 18:03:18,C,65
327,411,2022-12-18 20:30:24,C,53
328,412,2021-08-04 05:31:12,A,20
329,413,2023-08-30 12:42:56,A,14
330,414,2019-12-22 07:43:47,A,55
331,415,2019-11-01 01:00:01,A,36
332,417,2024-04-20 15:52:23,A,44
333,418,2023-11-12 22:24:23,C,55
334,419,2020-04-29 20:46:11,A,58
335,420,2023-07-26 06:00:46,C,61
336,421,2026-10-01 02:04:04,A,46
337,422,2018-12-03 22:31:42,C,26
338,424,2024-11-30 03:01:05,A,20
339,425,2019-09-05 12:50:47,A,36
340,426,2019-09-08 13:43:05,A,1
341,427,2022-06-21 15:33:38,A,4
342,428,2019-09-08 10:04:33,C,27
343,429,2018-09-18 09:23:48,A,17
344,430,2018-12-15 18:20:59,A,69
345,431,2019-06-11 07:12:22,C,38
346,435,2022-04-29 00:47:53,A,27
347,436,2020-03-17 01:35:47,A,59
348,437,2022-07-04 08:48:10,C,55
349,438,2018-10-20 04:20:39,C,3
350,439,2021-09-11 06:09:10,C,65
351,440,2023-10-28 18:35:26,A,54
352,441,2023-08-31 05:51:40,A,57
353,442,2018-11-21 13:52:42,A,68
354,443,2019-03-23 22:40:16,A,37
355,444,2025-07-11 10:22:04,A,41
356,446,2019-08-06 02:58:38,A,22
357,448,2024-11-24 02:01:13,A,30
358,450,2023-11-26 00:28:01,C,62
359,451,2020-01-25 13:07:46,A,67
360,452,2024-04-27 19:36:18,A,19
361,453,2023-06-18 08:30:52,A,23
362,454,2021-11-27 21:39:07,A,63
363,455,2023-05-30 23:38:46,C,28
364,460,2022-05-21 18:32:18,A,37
365,461,2020-01-13 07:32:51,A,38
366,462,2020-08-14 12:56:28,A,7
367,463,2018-12-15 01:44:38,A,17
368,464,2020-06-19 16:09:04,A,48
369,465,2020-03-09 11:33:43,A,57
370,466,2020-04-03 23:11:54,A,48
371,467,2023-06-19 00:47:31,A,35
372,469,2021-03-07 11:56:31,A,59
373,470,2021-10-20 04:37:11,C,41
374,472,2018-07-25 15:09:33,A,63
375,475,2020-12-11 10:36:02,A,56
376,476,2018-07-24 21:11:11,A,48
377,477,2025-07-13 23:02:51,A,23
378,478,2020-06-12 14:08:33,C,21
379,479,2020-01-27 22:40:09,A,20
380,482,2021-01-18 01:40:02,A,38
381,483,2021-12-06 22:01:18,A,34
382,484,2018-02-22 04:43:27,C,62
383,486,2022-11-14 19:50:48,A,19
384,487,2021-01-30 19:30:51,A,53
385,489,2018-06-06 16:02:18,A,27
386,490,2022-04-03 08:34:07,A,18
387,492,2018-04-06 20:09:21,C,15
388,493,2026-05-13 23:19:57,A,14
389,494,2018-09-12 20:02:26,A,54
390,495,2020-08-04 22:58:02,A,53
391,496,2025-08-14 22:16:16,A,64
392,497,2023-05-09 10:57:14,A,38
393,498,2022-01-29 01:49:29,A,37
394,499,2022-03-23 00:02:17,C,23
